id_flat,year,month,water_status,heat_status
1850_3,2022,12,9.432,159.808
1850_4,2022,12,5.553,227.481
1850_5,2022,12,4.205,170.846
1850_6,2022,12,5.129,196.918
1850_7,2022,12,9.852,39.303
1850_8,2022,12,2.484,32.864
1850_9,2022,12,6.075,2.223
1850_10,2022,12,0.387,186.401
Nové_1,2022,12,,
Nové_2,2022,12,,
Nové_3,2022,12,,
Nové_4,2022,12,,
Nové_5,2022,12,,
Nové_6,2022,12,,
Nové_7,2022,12,,
Nové_8,2022,12,,
Nové_9,2022,12,,
Nové_10,2022,12,,
1852_1,2022,12,,317.269
1852_2,2022,12,7.696,149.209
1852_3,2022,12,4.266,203.867
1852_4,2022,12,10.111,310.612
1852_5,2022,12,9.533,133.155
1852_6,2022,12,4.064,215.901
1852_7,2022,12,6.688,29.521
1852_8,2022,12,3.464,249.053
1852_9,2022,12,5.175,143.658
1852_10,2022,12,11.394,199.254
1853_1,2022,12,,380.509
1853_2,2022,12,9.528,212.804
1853_3,2022,12,2.426,93.933
1853_4,2022,12,6.53,146.769
1853_5,2022,12,3.388,226.914
1853_6,2022,12,3.187,126.237
1853_7,2022,12,5.642,287.97
1853_8,2022,12,8.727,184.437
1853_9,2022,12,6.768,103.436
1853_10,2022,12,6.771,129.324
1854_1,2022,12,,190.77
1854_2,2022,12,6.792,130.154
1854_3,2022,12,9.411,190.74
1854_4,2022,12,11.59,125.285
1854_5,2022,12,3.734,0.5
1854_6,2022,12,1.731,233.669
1854_7,2022,12,2.625,101.134
1854_8,2022,12,2.488,175.044
1854_9,2022,12,9.78,327.76
1854_10,2022,12,9.923,0.325
1855_1,2022,12,,363.842
1855_2,2022,12,14.103,442.615
1855_3,2022,12,9.68,110.651
1855_4,2022,12,4.502,25.942
1855_5,2022,12,0.493,165.31
1855_6,2022,12,6.474,79.34
1855_7,2022,12,9.928,51.723
1855_8,2022,12,0.333,52.148
1855_9,2022,12,5.327,178.863
1855_10,2022,12,8.832,528.65
1856_1,2022,12,,391.792
1856_2,2022,12,142.31,152.505
1856_3,2022,12,48.461,129.307
1856_4,2022,12,119.68,166.976
1856_5,2022,12,69.017,27.464
1856_6,2022,12,17.919,161.633
1856_7,2022,12,51.612,123.133
1856_8,2022,12,59.403,278.032
1856_9,2022,12,156.842,164.492
1856_10,2022,12,108.707,199.113
1857_1,2022,12,,126.745
1857_2,2022,12,9.199,93.554
1857_3,2022,12,2.765,405.963
1857_4,2022,12,8.683,74.096
1857_5,2022,12,2.865,198.733
1857_6,2022,12,3.873,189.93
1857_7,2022,12,7.514,310.042
1857_8,2022,12,11.538,195.288
1857_9,2022,12,4.926,59.795
1857_10,2022,12,5.676,254.366
1850_1,2019,12,,175.254
1850_2,2019,12,13.76,373.825
1850_3,2019,12,39.697,191.484
1850_4,2019,12,30.742,314.132
1850_5,2019,12,18.881,305.997
1850_6,2019,12,38.17,417.208
1850_7,2019,12,45.094,160.267
1850_8,2019,12,9.55,361.082
1850_9,2019,12,28.884,5.049
1850_10,2019,12,2.71,98.599
Nové_1,2019,12,,
Nové_2,2019,12,,
Nové_3,2019,12,,
Nové_4,2019,12,,
Nové_5,2019,12,,
Nové_6,2019,12,,
Nové_7,2019,12,,
Nové_8,2019,12,,
Nové_9,2019,12,,
Nové_10,2019,12,,
1852_1,2019,12,,150.122
1852_2,2019,12,23.478,303.408
1852_3,2019,12,29.867,425.877
1852_4,2019,12,35.464,270.277
1852_5,2019,12,49.415,362.584
1852_6,2019,12,13.955,186.038
1852_7,2019,12,70.872,70.861
1852_8,2019,12,18.161,73.238
1852_9,2019,12,12.081,402.999
1852_10,2019,12,42.544,121.043
1853_1,2019,12,,198.054
1853_2,2019,12,56.023,405.487
1853_3,2019,12,14.737,44.09
1853_4,2019,12,10.391,107.926
1853_5,2019,12,28.359,283.13
1853_6,2019,12,21.785,306.416
1853_7,2019,12,38.582,33.134
1853_8,2019,12,20.053,34.36
1853_9,2019,12,10.563,130.44
1853_10,2019,12,33.065,325.426
1854_1,2019,12,,36.996
1854_2,2019,12,10.937,138.59
1854_3,2019,12,58.263,212.784
1854_4,2019,12,50.313,214.857
1854_5,2019,12,15.817,3.306
1854_6,2019,12,6.899,332.309
1854_7,2019,12,44.447,80.791
1854_8,2019,12,8.655,167.0
1854_9,2019,12,41.639,625.147
1854_10,2019,12,48.294,4.122
1855_1,2019,12,,74.405
1855_2,2019,12,19.446,774.428
1855_3,2019,12,54.899,142.167
1855_4,2019,12,37.082,117.207
1855_5,2019,12,5.505,300.063
1855_6,2019,12,15.702,80.274
1855_7,2019,12,31.926,42.172
1855_8,2019,12,3.131,293.926
1855_9,2019,12,38.799,347.761
1855_10,2019,12,33.91,920.55
1856_1,2019,12,,171.597
1856_2,2019,12,38.137,263.293
1856_3,2019,12,12.442,334.697
1856_4,2019,12,41.606,188.352
1856_5,2019,12,23.813,121.384
1856_6,2019,12,7.142,48.514
1856_7,2019,12,6.887,194.543
1856_8,2019,12,9.756,197.581
1856_9,2019,12,63.1,324.33
1856_10,2019,12,36.144,361.08
1857_1,2019,12,,108.895
1857_2,2019,12,46.679,272.278
1857_3,2019,12,8.945,827.078
1857_4,2019,12,41.55,87.105
1857_5,2019,12,16.425,339.539
1857_6,2019,12,23.441,57.308
1857_7,2019,12,19.413,564.628
1857_8,2019,12,49.595,458.094
1857_9,2019,12,18.349,130.3
1857_10,2019,12,24.648,493.807
1850_1,2023,12,,39.227
1850_2,2023,12,22.65,578.873
1850_3,2023,12,36.202,228.181
1850_4,2023,12,24.945,346.182
1850_5,2023,12,18.402,262.861
1850_6,2023,12,20.438,304.032
1850_7,2023,12,36.339,52.604
1850_8,2023,12,9.35,58.755
1850_9,2023,12,29.061,2.493
1850_10,2023,12,2.389,268.31
Nové_1,2023,12,,
Nové_2,2023,12,,
Nové_3,2023,12,,
Nové_4,2023,12,,
Nové_5,2023,12,,
Nové_6,2023,12,,
Nové_7,2023,12,,
Nové_8,2023,12,,
Nové_9,2023,12,,
Nové_10,2023,12,,
1852_1,2023,12,,445.719
1852_2,2023,12,30.733,235.605
1852_3,2023,12,16.116,338.053
1852_4,2023,12,43.311,407.947
1852_5,2023,12,37.265,236.272
1852_6,2023,12,20.024,317.583
1852_7,2023,12,30.804,38.227
1852_8,2023,12,12.76,355.342
1852_9,2023,12,19.528,11.177
1852_10,2023,12,43.025,283.974
1853_1,2023,12,,530.581
1853_2,2023,12,37.232,294.937
1853_3,2023,12,10.275,173.735
1853_4,2023,12,29.607,194.525
1853_5,2023,12,12.095,312.23
1853_6,2023,12,11.632,173.968
1853_7,2023,12,17.234,419.101
1853_8,2023,12,33.724,260.688
1853_9,2023,12,23.2,147.58
1853_10,2023,12,26.124,162.723
1854_1,2023,12,,270.752
1854_2,2023,12,29.809,199.445
1854_3,2023,12,40.553,275.92
1854_4,2023,12,43.799,233.497
1854_5,2023,12,15.755,0.111
1854_6,2023,12,4.916,323.594
1854_7,2023,12,12.884,124.062
1854_8,2023,12,9.096,249.7
1854_9,2023,12,34.484,473.534
1854_10,2023,12,40.387,0.337
1855_1,2023,12,,520.504
1855_2,2023,12,56.527,619.368
1855_3,2023,12,43.285,153.218
1855_4,2023,12,22.779,40.3
1855_5,2023,12,2.965,230.908
1855_6,2023,12,23.759,121.339
1855_7,2023,12,39.653,65.784
1855_8,2023,12,1.855,78.831
1855_9,2023,12,18.5,254.563
1855_10,2023,12,29.667,683.853
1856_1,2023,12,,591.22
1856_2,2023,12,174.67,215.915
1856_3,2023,12,57.917,172.821
1856_4,2023,12,142.376,260.895
1856_5,2023,12,84.617,58.507
1856_6,2023,12,35.472,225.865
1856_7,2023,12,66.737,178.345
1856_8,2023,12,74.641,390.61
1856_9,2023,12,179.995,232.433
1856_10,2023,12,128.208,277.658
1857_1,2023,12,,179.246
1857_2,2023,12,41.058,140.392
1857_3,2023,12,11.837,584.474
1857_4,2023,12,36.972,116.709
1857_5,2023,12,9.389,279.104
1857_6,2023,12,15.702,218.152
1857_7,2023,12,24.874,456.265
1857_8,2023,12,40.63,270.511
1857_9,2023,12,18.417,83.935
1857_10,2023,12,17.134,365.274
1850_1,2021,12,,19.243
1850_2,2021,12,48.868,237.95
1850_3,2021,12,88.086,93.175
1850_4,2021,12,72.679,123.698
1850_5,2021,12,42.203,88.4
1850_6,2021,12,62.988,96.983
1850_7,2021,12,92.789,24.825
1850_8,2021,12,21.853,9.28
1850_9,2021,12,65.264,1.911
1850_10,2021,12,8.213,101.593
Nové_1,2021,12,,
Nové_2,2021,12,,
Nové_3,2021,12,,
Nové_4,2021,12,,
Nové_5,2021,12,,
Nové_6,2021,12,,
Nové_7,2021,12,,
Nové_8,2021,12,,
Nové_9,2021,12,,
Nové_10,2021,12,,
1852_1,2021,12,,187.433
1852_2,2021,12,78.606,71.705
1852_3,2021,12,58.143,81.529
1852_4,2021,12,96.054,164.97
1852_5,2021,12,105.124,36.779
1852_6,2021,12,21.764,124.962
1852_7,2021,12,139.772,17.249
1852_8,2021,12,39.837,136.449
1852_9,2021,12,54.3,106.093
1852_10,2021,12,107.631,107.228
1853_1,2021,12,,210.134
1853_2,2021,12,124.038,116.709
1853_3,2021,12,38.301,35.335
1853_4,2021,12,26.764,87.347
1853_5,2021,12,53.181,129.352
1853_6,2021,12,47.354,70.472
1853_7,2021,12,61.159,153.776
1853_8,2021,12,65.016,100.621
1853_9,2021,12,51.585,56.467
1853_10,2021,12,72.237,76.907
1854_1,2021,12,,108.296
1854_2,2021,12,55.873,69.331
1854_3,2021,12,120.0,101.518
1854_4,2021,12,120.421,70.198
1854_5,2021,12,50.563,0.351
1854_6,2021,12,16.744,141.535
1854_7,2021,12,78.857,51.225
1854_8,2021,12,19.596,90.085
1854_9,2021,12,99.643,180.181
1854_10,2021,12,115.847,0.239
1855_1,2021,12,,183.174
1855_2,2021,12,118.241,233.734
1855_3,2021,12,135.148,63.121
1855_4,2021,12,92.497,14.175
1855_5,2021,12,10.086,92.284
1855_6,2021,12,40.315,44.788
1855_7,2021,12,86.297,29.015
1855_8,2021,12,6.149,30.968
1855_9,2021,12,112.608,93.856
1855_10,2021,12,83.919,309.668
1856_1,2021,12,,208.158
1856_2,2021,12,101.435,78.505
1856_3,2021,12,35.551,70.387
1856_4,2021,12,92.088,92.95
1856_5,2021,12,55.183,11.764
1856_6,2021,12,13.022,89.415
1856_7,2021,12,35.045,61.8
1856_8,2021,12,42.198,163.329
1856_9,2021,12,123.504,83.396
1856_10,2021,12,81.576,112.962
1857_1,2021,12,,69.818
1857_2,2021,12,106.09,46.115
1857_3,2021,12,23.598,215.359
1857_4,2021,12,101.831,30.198
1857_5,2021,12,35.365,95.144
1857_6,2021,12,55.557,80.877
1857_7,2021,12,54.3,163.306
1857_8,2021,12,130.302,113.977
1857_9,2021,12,40.427,33.466
1857_10,2021,12,53.629,135.443
1850_1,2025,12,,3.829
1850_2,2025,12,67.779,19.095
1850_3,2025,12,83.238,6.06
1850_4,2025,12,60.193,12.77
1850_5,2025,12,40.877,9.296
1850_6,2025,12,57.859,7.545
1850_7,2025,12,91.113,4.463
1850_8,2025,12,21.004,0.446
1850_9,2025,12,62.224,0.073
1850_10,2025,12,12.012,8.359
Nové_1,2025,12,,
Nové_2,2025,12,,
Nové_3,2025,12,,
Nové_4,2025,12,,
Nové_5,2025,12,,
Nové_6,2025,12,,
Nové_7,2025,12,,
Nové_8,2025,12,,
Nové_9,2025,12,,
Nové_10,2025,12,,
1852_1,2025,12,,12.545
1852_2,2025,12,76.346,5.285
1852_3,2025,12,35.462,12.117
1852_4,2025,12,106.363,6.82
1852_5,2025,12,82.226,5.789
1852_6,2025,12,42.479,0.043
1852_7,2025,12,60.997,0.757
1852_8,2025,12,33.49,13.38
1852_9,2025,12,47.794,13.636
1852_10,2025,12,118.749,6.461
1853_1,2025,12,,15.692
1853_2,2025,12,95.658,7.571
1853_3,2025,12,27.501,6.239
1853_4,2025,12,62.257,3.377
1853_5,2025,12,31.791,7.298
1853_6,2025,12,28.57,6.274
1853_7,2025,12,43.35,14.626
1853_8,2025,12,76.723,11.299
